id,cpf,type,amount,description,from_user,to_user,to_key,date,status,reversal_of,subscription_id,invoice_id
00216c0a-3ad9-4df8-bcde-296913a11677,25713468361,SHOP_CREDIT,-244.81,Farmacia Pague Menos,,,,2026-07-19T16:09:50.116Z,,,,
005c100e-d710-4c60-ada7-f96057ed2c29,34310951783,SHOP_CREDIT,-202.53,Netflix,,,,2026-07-27T06:39:18.512Z,,,,
0068c923-b57b-423a-aa9a-841a3d2b198b,37810513150,SHOP_CREDIT,-226.34,Mercado Livre,,,,2026-07-21T00:55:44.282Z,,,,
00ee3ff0-3bad-4385-a873-31c19cc221f5,18642038977,SHOP_CREDIT,-255.45,Uber,,,,2026-08-14T03:32:41.343Z,,,,
00fcf28e-0efd-43d7-978c-7f279a6e9e4d,26986473966,SHOP_CREDIT,-860.19,Netflix,,,,2026-07-01T18:00:00.000Z,,,,
0130a1d0-caa2-478e-8686-cf0afdd8c3d6,57673944623,SHOP_CREDIT,-1290.29,Spotify,,,,2026-06-27T18:00:00.000Z,,,,
0149b7b8-76f8-4149-93e1-479dca2cb7d0,85246671844,SHOP_CREDIT,-860.19,Farmacia Pague Menos,,,,2026-06-30T18:00:00.000Z,,,,
019f15f3-0fe6-4623-ac61-5b105624cf03,41689983639,SHOP_CREDIT,-104.11,Zara,,,,2026-07-19T16:09:47.054Z,,,,
01ee15af-ea90-46d9-aa8a-bf115dcd8378,82474679928,SHOP_CREDIT,-309.71,Spotify,,,,2026-08-15T03:09:28.979Z,,,,
022df02e-8219-4bda-8b49-2325ac6f5c36,17058588562,SHOP_CREDIT,-252.23,Amazon BR,,,,2026-07-30T02:33:48.281Z,,,,
0231446e-8fc1-4097-877d-4e4edb82a4d2,87111008855,SHOP_CREDIT,-181.10,Spotify,,,,2026-08-15T03:33:50.705Z,,,,
0233e732-3a50-4bcd-988b-ce522d9dbc6a,57855482407,SHOP_CREDIT,-1720.38,Zara,,,,2026-07-19T18:00:00.000Z,,,,
03178a6f-617e-44d2-8672-d10ada3de641,44794065574,SHOP_CREDIT,-427.21,Posto Shell,,,,2026-07-19T16:09:47.605Z,,,,
