id,cpf,type,key,created_at
01d6f638-4953-45a3-9b83-91eab4d24c70,77551164685,EMAIL,jeannel_aubry86@gmail.com,2026-07-24T16:09:48.317Z
03cdfe9d-3e6b-40e3-a3f9-b4b07a8b8dca,65451936372,EMAIL,aline6@bol.com.br,2026-07-24T16:09:49.757Z
03d41dee-0d08-4d65-94e4-b9dc28ea5efa,24930613945,CPF,24930613945,2026-07-24T16:09:49.881Z
03d6539e-0096-48b7-960e-0a1e66e1512f,71078566429,EMAIL,alban.royer30@gmail.com,2026-07-24T16:09:48.861Z
0488fe4d-5ee5-4a94-9d04-5b0355aadbcb,53281863159,CPF,53281863159,2026-07-24T16:09:47.166Z
050f8eaa-7ebd-458f-8c36-720eecbb4d68,72856446096,EMAIL,kraig.erdman@yahoo.com,2026-07-24T16:09:49.922Z
07891238-f135-4f3e-9a55-4ba6111d6000,89331225245,EMAIL,aoiyamamoto@fintech.com,2026-08-01T05:38:42.836Z
0826a995-edc0-4c2c-b6cf-c4c4dcbb32b8,01086796160,CPF,01086796160,2026-08-17T00:11:45.752Z
08704884-a234-4d32-b7e6-b87ee93dcd69,84823321987,CPF,84823321987,2026-07-24T16:09:47.754Z
087cb7e7-a177-477c-8973-9f781dd186d8,92957697327,EMAIL,kenjisato@fintech.com,2026-08-17T00:10:17.861Z
089c48dd-98be-41f4-a9a3-f81a474959b4,81722521295,CPF,81722521295,2026-07-24T16:09:50.970Z
08c128de-758e-4734-9112-0e9c7fd07d83,73012176728,CPF,73012176728,2026-07-24T16:09:49.964Z
09568ec1-92ab-4d33-9321-c6b2e1a020c3,36072364535,EMAIL,alessandroferrari@fintech.com,2026-08-04T18:15:20.320Z
09ee4721-0f03-40f6-a421-05553409627b,15351515369,EMAIL,fatimaal-harbi@fintech.com,2026-07-31T04:28:14.976Z
0a6817cc-9e4a-4fdf-b8e8-405052076fa0,26700822386,EMAIL,jeandupont@fintech.com,2026-08-06T01:49:53.415Z
0b4f6818-b000-4a7e-9803-62616fb62808,26700822386,CPF,26700822386,2026-08-06T01:49:53.415Z
