id,full_name,cpf,email,balance,pix_daily_limit,is_blocked,role,created_at,updated_at,username,profile_description,show_stories_popup,credit_card_due_date,credit_card_invoice_due_date,credit_card_available_limit,credit_card_total_limit,credit_card_points_balance,credit_card_is_blocked,account_status,days_overdue,credit_card_due_day,invoice_last_closed_date,login_attempts,card_expiry,card_delivery_status,card_is_activated,profile_message,birth_date,age,has_tutor,tutor_name,tutor_cpf,tutor_relationship,country_origin,address_cep,address_street,address_number,address_complement,address_neighborhood,address_city,address_state,card_brand,card_due_day,overdue_status
002924c2-35e2-47dd-8a8f-9ad5eedcb190,User Teste,98765432100,userteste@test.com,2000.00,2000.00,false,customer,2026-07-08T00:54:21.141Z,2026-08-20T03:00:01.938Z,,,true,,2026-09-15T18:00:00.000Z,0.00,5000.00,0,false,inadimplente,41,15,,1,07/31,unlocked,true,"Cartão em produção. Criado em 07/07/2026, 21:54 UTC. Validade: 07/31, CVV: 100",,,false,,,,Brasil,,,,,,,,MASTERCARD,10,EM_ATRASO_30D
00c7b2b8-9830-49e3-bf4e-481e08bdc6ad,Michael David Williams,34310951783,michaeldavidwilliams@fintech.com,10921.39,1888.60,false,user,2026-07-27T06:39:18.413Z,2026-08-17T00:02:23.460Z,,,true,,2026-09-15T21:00:00.000Z,9569.15,10115.99,0,false,adimplente,0,15,,0,,manufacturing,false,,2000-04-07T03:00:00.000Z,26,false,,,,Estados Unidos,60611,Fifth Avenue,473,,Lincoln Park,Los Angeles,FL,HIPERCARD,15,EM_DIA
025f18c6-9d8c-4ff1-b290-a9787581ccd9,Cliente Cartao Teste,77766655599,cliente.cartao99@fintech.com,10000.00,4000.00,false,user,2026-07-23T04:31:05.773Z,2026-08-20T03:00:03.935Z,,,true,,2026-09-15T18:00:00.000Z,10770.99,15000.00,0,false,inadimplente,41,15,,0,,,false,,1992-04-10T03:00:00.000Z,34,false,,,,Japao,,,,,,,,VISA,20,EM_ATRASO_30D
0269e4c4-e2e5-4b2c-9fa0-b2f76f15df31,Christian Bertrand,77355277308,Christian_Bertrand15@yahoo.fr,2000.00,2000.00,false,customer,2026-07-23T02:14:50.407Z,2026-08-20T03:00:04.541Z,,,true,,2026-09-15T18:00:00.000Z,3919.75,5000.00,0,false,inadimplente,10,15,,0,07/31,unlocked,true,"Cartão em produção. Criado em 22/07/2026, 23:14 UTC. Validade: 07/31, CVV: 308",,,false,,,,Brasil,,,,,,,,MASTERCARD,10,EM_ATRASO_15D
044557d4-97b1-4b6f-bb89-f58d4e1b6bc2,Mateo Fernandez,38160081359,mateofernandez@fintech.com,57407.54,1715.46,false,user,2026-07-30T02:50:09.427Z,2026-08-15T03:07:38.063Z,,,true,,2026-09-05T21:00:00.000Z,2240.47,2240.47,0,false,adimplente,0,5,,0,,manufacturing,false,,2001-02-17T02:00:00.000Z,25,false,,,,Argentina,C1005,Avenida Colon,203,,San Telmo,Buenos Aires,CABA,HIPERCARD,5,EM_DIA
04b32d51-f63b-4e88-8731-e253a8ea1c33,Adalard Rodriguez,83052128400,Adalard.Rodriguez@yahoo.fr,2000.00,2000.00,false,customer,2026-08-01T05:22:34.380Z,2026-08-11T03:20:20.869Z,,,true,,2026-09-10T21:00:00.000Z,5000.00,5000.00,0,false,adimplente,0,10,,0,07/31,manufacturing,false,"Cartão em produção. Criado em 01/08/2026, 02:22 UTC. Validade: 07/31, CVV: 400",,,false,,,,Brasil,,,,,,,,MASTERCARD,10,EM_DIA
054735c8-0415-43fd-90f6-752575b38bb5,Joon Jeong,20092389589,joonjeong@fintech.com,1680.44,3495.75,false,user,2026-08-12T23:40:40.388Z,2026-08-20T03:00:06.036Z,,,true,,2026-09-10T18:00:00.000Z,13525.38,17715.18,0,false,inadimplente,23,10,,0,,unlocked,true,,1993-11-25T02:00:00.000Z,33,false,,,,Coreia do Sul,03154,Rua Haeundae-ro,785,,Seocho,Busan,Busan,HIPERCARD,10,EM_ATRASO_30D
0629e13d-da5b-4fc8-ba94-c7f785332cee,Clarisse Dufour,76925831102,Clarisse_Dufour84@gmail.com,2000.00,2000.00,false,customer,2026-07-19T09:48:50.753Z,2026-08-20T03:00:05.133Z,,,true,,2026-09-15T18:00:00.000Z,3546.50,5000.00,0,false,inadimplente,10,15,,0,07/31,unlocked,true,"Cartão em produção. Criado em 19/07/2026, 06:48 UTC. Validade: 07/31, CVV: 102",,,false,,,,Brasil,,,,,,,,MASTERCARD,10,EM_ATRASO_15D
084f0338-533c-447f-a450-ebdc141afb48,Florie Fontaine,37810513150,Florie_Fontaine85@gmail.com,11772.61,2000.00,false,customer,2026-07-22T19:22:15.338Z,2026-08-15T03:07:38.063Z,,,true,,2026-09-15T18:00:00.000Z,20000.00,20000.00,0,false,adimplente,0,15,,0,07/31,unlocked,true,"Cartão em produção. Criado em 22/07/2026, 16:22 UTC. Validade: 07/31, CVV: 150",,,false,,,,Brasil,,,,,,,,MASTERCARD,10,EM_DIA
0a4013d8-f210-4876-bfca-e844c7d895a5,Abigaelle Michel,12424713839,Abigaelle.Michel47@yahoo.fr,2000.00,2000.00,false,customer,2026-07-19T18:11:48.539Z,2026-08-20T03:00:04.883Z,,,true,,2026-09-15T18:00:00.000Z,3752.33,5000.00,0,false,inadimplente,10,15,,0,07/31,unlocked,true,"Cartão em produção. Criado em 19/07/2026, 15:11 UTC. Validade: 07/31, CVV: 839",,,false,,,,Brasil,,,,,,,,MASTERCARD,10,EM_ATRASO_15D
